"plot","no_GNSS_center_used","x","y"
37,NA,253055.365223079,7674450.32906662
215,NA,253298.985119664,7673338.63913471
271,NA,253351.618621151,7674145.69185654
289,NA,253398.306276935,7673044.48833084
301,NA,253399.802912534,7673646.68334492
317,NA,253398.483458119,7674451.37102838
319,NA,253395.043912757,7674541.82047481
325,NA,253445.054187045,7672845.4152386
355,NA,253451.771509591,7674343.4373017
373,NA,253495.337325567,7673250.60624506
511,NA,253651.848563992,7674144.5202832
559,NA,253696.778425994,7674551.31018407
991,NA,254250.154199246,7674195.67958852
997,NA,254251.191299146,7674446.74796147
1105,NA,254400.204595184,7673852.69166228
1111,NA,254396.516365291,7674152.62372815
1159,NA,254443.413424851,7674549.3200925
11209,NA,253709.625601174,7674771.45458985
11223,NA,253437.931751933,7673638.133761
